 12:45:51 up 23:34,  1 user,  load average: 1.83, 0.79, 0.59
 12:45:52 up 23:34,  1 user,  load average: 1.83, 0.79, 0.59
 12:45:53 up 23:34,  1 user,  load average: 1.83, 0.79, 0.59
 12:45:54 up 23:34,  1 user,  load average: 1.83, 0.79, 0.59
 12:45:55 up 23:34,  1 user,  load average: 1.83, 0.79, 0.59
 12:45:56 up 23:34,  1 user,  load average: 2.24, 0.89, 0.63
 12:45:57 up 23:34,  1 user,  load average: 2.24, 0.89, 0.63
 12:45:58 up 23:34,  1 user,  load average: 2.24, 0.89, 0.63
 12:45:59 up 23:34,  1 user,  load average: 2.24, 0.89, 0.63
 12:46:00 up 23:34,  1 user,  load average: 2.24, 0.89, 0.63
 12:46:01 up 23:34,  1 user,  load average: 2.38, 0.94, 0.64
 12:46:02 up 23:34,  1 user,  load average: 2.38, 0.94, 0.64
 12:46:03 up 23:34,  1 user,  load average: 2.38, 0.94, 0.64
 12:46:04 up 23:34,  1 user,  load average: 2.38, 0.94, 0.64
 12:46:05 up 23:34,  1 user,  load average: 2.38, 0.94, 0.64
 12:46:06 up 23:34,  1 user,  load average: 2.67, 1.02, 0.67
 12:46:07 up 23:34,  1 user,  load average: 2.67, 1.02, 0.67
 12:46:08 up 23:34,  1 user,  load average: 2.67, 1.02, 0.67
 12:46:09 up 23:34,  1 user,  load average: 2.67, 1.02, 0.67
 12:46:10 up 23:34,  1 user,  load average: 2.67, 1.02, 0.67
 12:46:11 up 23:34,  1 user,  load average: 2.94, 1.11, 0.70
 12:46:12 up 23:34,  1 user,  load average: 2.94, 1.11, 0.70
 12:46:13 up 23:34,  1 user,  load average: 2.94, 1.11, 0.70
 12:46:14 up 23:34,  1 user,  load average: 2.94, 1.11, 0.70
 12:46:15 up 23:34,  1 user,  load average: 2.94, 1.11, 0.70
 12:46:16 up 23:34,  1 user,  load average: 3.10, 1.17, 0.72
 12:46:17 up 23:34,  1 user,  load average: 3.10, 1.17, 0.72
 12:46:18 up 23:35,  1 user,  load average: 3.10, 1.17, 0.72
 12:46:20 up 23:35,  1 user,  load average: 3.10, 1.17, 0.72
 12:46:21 up 23:35,  1 user,  load average: 3.10, 1.17, 0.72
 12:46:22 up 23:35,  1 user,  load average: 3.50, 1.29, 0.76
 12:46:23 up 23:35,  1 user,  load average: 3.50, 1.29, 0.76
 12:46:24 up 23:35,  1 user,  load average: 3.50, 1.29, 0.76
 12:46:25 up 23:35,  1 user,  load average: 3.50, 1.29, 0.76
 12:46:26 up 23:35,  1 user,  load average: 3.50, 1.29, 0.76
 12:46:27 up 23:35,  1 user,  load average: 3.70, 1.37, 0.79
 12:46:28 up 23:35,  1 user,  load average: 3.70, 1.37, 0.79
 12:46:29 up 23:35,  1 user,  load average: 3.70, 1.37, 0.79
 12:46:30 up 23:35,  1 user,  load average: 3.70, 1.37, 0.79
 12:46:31 up 23:35,  1 user,  load average: 3.70, 1.37, 0.79
 12:46:32 up 23:35,  1 user,  load average: 3.40, 1.34, 0.79
 12:46:33 up 23:35,  1 user,  load average: 3.40, 1.34, 0.79
 12:46:34 up 23:35,  1 user,  load average: 3.40, 1.34, 0.79
 12:46:35 up 23:35,  1 user,  load average: 3.40, 1.34, 0.79
 12:46:36 up 23:35,  1 user,  load average: 3.40, 1.34, 0.79
 12:46:37 up 23:35,  1 user,  load average: 3.53, 1.40, 0.81
 12:46:38 up 23:35,  1 user,  load average: 3.53, 1.40, 0.81
 12:46:39 up 23:35,  1 user,  load average: 3.53, 1.40, 0.81
 12:46:40 up 23:35,  1 user,  load average: 3.53, 1.40, 0.81
 12:46:41 up 23:35,  1 user,  load average: 3.53, 1.40, 0.81
 12:46:42 up 23:35,  1 user,  load average: 3.49, 1.43, 0.82
 12:46:43 up 23:35,  1 user,  load average: 3.49, 1.43, 0.82
 12:46:44 up 23:35,  1 user,  load average: 3.49, 1.43, 0.82
 12:46:45 up 23:35,  1 user,  load average: 3.49, 1.43, 0.82
 12:46:46 up 23:35,  1 user,  load average: 3.49, 1.43, 0.82
 12:46:47 up 23:35,  1 user,  load average: 3.45, 1.46, 0.84
 12:46:48 up 23:35,  1 user,  load average: 3.45, 1.46, 0.84
 12:46:49 up 23:35,  1 user,  load average: 3.45, 1.46, 0.84
 12:46:50 up 23:35,  1 user,  load average: 3.45, 1.46, 0.84
 12:46:51 up 23:35,  1 user,  load average: 3.45, 1.46, 0.84
 12:46:52 up 23:35,  1 user,  load average: 3.73, 1.55, 0.87
 12:46:53 up 23:35,  1 user,  load average: 3.73, 1.55, 0.87
 12:46:54 up 23:35,  1 user,  load average: 3.73, 1.55, 0.87
 12:46:55 up 23:35,  1 user,  load average: 3.73, 1.55, 0.87
 12:46:56 up 23:35,  1 user,  load average: 3.73, 1.55, 0.87
 12:46:57 up 23:35,  1 user,  load average: 3.91, 1.62, 0.90
 12:46:58 up 23:35,  1 user,  load average: 3.91, 1.62, 0.90
 12:46:59 up 23:35,  1 user,  load average: 3.91, 1.62, 0.90
 12:47:00 up 23:35,  1 user,  load average: 3.91, 1.62, 0.90
 12:47:01 up 23:35,  1 user,  load average: 3.91, 1.62, 0.90
 12:47:02 up 23:35,  1 user,  load average: 3.76, 1.63, 0.90
 12:47:03 up 23:35,  1 user,  load average: 3.76, 1.63, 0.90
 12:47:04 up 23:35,  1 user,  load average: 3.76, 1.63, 0.90
 12:47:05 up 23:35,  1 user,  load average: 3.76, 1.63, 0.90
 12:47:06 up 23:35,  1 user,  load average: 3.76, 1.63, 0.90
 12:47:07 up 23:35,  1 user,  load average: 3.54, 1.62, 0.90
 12:47:08 up 23:35,  1 user,  load average: 3.54, 1.62, 0.90
 12:47:09 up 23:35,  1 user,  load average: 3.54, 1.62, 0.90
 12:47:10 up 23:35,  1 user,  load average: 3.54, 1.62, 0.90
 12:47:11 up 23:35,  1 user,  load average: 3.54, 1.62, 0.90
 12:47:12 up 23:35,  1 user,  load average: 3.42, 1.62, 0.91
 12:47:13 up 23:35,  1 user,  load average: 3.42, 1.62, 0.91
 12:47:14 up 23:35,  1 user,  load average: 3.42, 1.62, 0.91
 12:47:15 up 23:35,  1 user,  load average: 3.42, 1.62, 0.91
 12:47:16 up 23:35,  1 user,  load average: 3.42, 1.62, 0.91
 12:47:17 up 23:35,  1 user,  load average: 4.02, 1.78, 0.96
 12:47:18 up 23:35,  1 user,  load average: 4.02, 1.78, 0.96
 12:47:19 up 23:36,  1 user,  load average: 4.02, 1.78, 0.96
 12:47:20 up 23:36,  1 user,  load average: 4.02, 1.78, 0.96
 12:47:21 up 23:36,  1 user,  load average: 4.02, 1.78, 0.96
 12:47:22 up 23:36,  1 user,  load average: 3.78, 1.77, 0.96
 12:47:23 up 23:36,  1 user,  load average: 3.78, 1.77, 0.96
 12:47:24 up 23:36,  1 user,  load average: 3.78, 1.77, 0.96
 12:47:25 up 23:36,  1 user,  load average: 3.78, 1.77, 0.96
 12:47:26 up 23:36,  1 user,  load average: 3.78, 1.77, 0.96
 12:47:27 up 23:36,  1 user,  load average: 3.80, 1.80, 0.98
 12:47:28 up 23:36,  1 user,  load average: 3.80, 1.80, 0.98
 12:47:29 up 23:36,  1 user,  load average: 3.80, 1.80, 0.98
 12:47:30 up 23:36,  1 user,  load average: 3.80, 1.80, 0.98
 12:47:31 up 23:36,  1 user,  load average: 3.80, 1.80, 0.98
 12:47:32 up 23:36,  1 user,  load average: 4.70, 2.02, 1.06
 12:47:33 up 23:36,  1 user,  load average: 4.70, 2.02, 1.06
 12:47:34 up 23:36,  1 user,  load average: 4.70, 2.02, 1.06
 12:47:35 up 23:36,  1 user,  load average: 4.70, 2.02, 1.06
 12:47:36 up 23:36,  1 user,  load average: 4.70, 2.02, 1.06
 12:47:37 up 23:36,  1 user,  load average: 4.80, 2.09, 1.08
 12:47:38 up 23:36,  1 user,  load average: 4.80, 2.09, 1.08
 12:47:39 up 23:36,  1 user,  load average: 4.80, 2.09, 1.08
 12:47:40 up 23:36,  1 user,  load average: 4.80, 2.09, 1.08
 12:47:41 up 23:36,  1 user,  load average: 4.80, 2.09, 1.08
 12:47:42 up 23:36,  1 user,  load average: 4.90, 2.16, 1.11
 12:47:43 up 23:36,  1 user,  load average: 4.90, 2.16, 1.11
 12:47:44 up 23:36,  1 user,  load average: 4.90, 2.16, 1.11
 12:47:45 up 23:36,  1 user,  load average: 4.90, 2.16, 1.11
 12:47:46 up 23:36,  1 user,  load average: 4.90, 2.16, 1.11
 12:47:47 up 23:36,  1 user,  load average: 5.14, 2.25, 1.15
 12:47:48 up 23:36,  1 user,  load average: 5.14, 2.25, 1.15
 12:47:49 up 23:36,  1 user,  load average: 5.14, 2.25, 1.15
 12:47:50 up 23:36,  1 user,  load average: 5.14, 2.25, 1.15
 12:47:51 up 23:36,  1 user,  load average: 5.14, 2.25, 1.15
 12:47:52 up 23:36,  1 user,  load average: 4.81, 2.23, 1.15
 12:47:53 up 23:36,  1 user,  load average: 4.81, 2.23, 1.15
 12:47:54 up 23:36,  1 user,  load average: 4.81, 2.23, 1.15
 12:47:55 up 23:36,  1 user,  load average: 4.81, 2.23, 1.15
 12:47:56 up 23:36,  1 user,  load average: 4.81, 2.23, 1.15
 12:47:57 up 23:36,  1 user,  load average: 4.51, 2.21, 1.15
 12:47:58 up 23:36,  1 user,  load average: 4.51, 2.21, 1.15
 12:47:59 up 23:36,  1 user,  load average: 4.51, 2.21, 1.15
 12:48:00 up 23:36,  1 user,  load average: 4.51, 2.21, 1.15
 12:48:01 up 23:36,  1 user,  load average: 4.51, 2.21, 1.15
 12:48:02 up 23:36,  1 user,  load average: 4.39, 2.22, 1.16
 12:48:03 up 23:36,  1 user,  load average: 4.39, 2.22, 1.16
 12:48:04 up 23:36,  1 user,  load average: 4.39, 2.22, 1.16
 12:48:05 up 23:36,  1 user,  load average: 4.39, 2.22, 1.16
 12:48:06 up 23:36,  1 user,  load average: 4.39, 2.22, 1.16
 12:48:07 up 23:36,  1 user,  load average: 4.52, 2.29, 1.18
 12:48:08 up 23:36,  1 user,  load average: 4.52, 2.29, 1.18
 12:48:09 up 23:36,  1 user,  load average: 4.52, 2.29, 1.18
 12:48:10 up 23:36,  1 user,  load average: 4.52, 2.29, 1.18
 12:48:11 up 23:36,  1 user,  load average: 4.52, 2.29, 1.18
 12:48:12 up 23:36,  1 user,  load average: 4.39, 2.30, 1.19
 12:48:13 up 23:36,  1 user,  load average: 4.39, 2.30, 1.19
 12:48:14 up 23:36,  1 user,  load average: 4.39, 2.30, 1.19
 12:48:15 up 23:36,  1 user,  load average: 4.39, 2.30, 1.19
 12:48:16 up 23:36,  1 user,  load average: 4.39, 2.30, 1.19
 12:48:17 up 23:36,  1 user,  load average: 4.60, 2.38, 1.22
 12:48:18 up 23:36,  1 user,  load average: 4.60, 2.38, 1.22
 12:48:19 up 23:37,  1 user,  load average: 4.60, 2.38, 1.22
 12:48:20 up 23:37,  1 user,  load average: 4.60, 2.38, 1.22
 12:48:21 up 23:37,  1 user,  load average: 4.47, 2.39, 1.23
 12:48:22 up 23:37,  1 user,  load average: 4.47, 2.39, 1.23
 12:48:23 up 23:37,  1 user,  load average: 4.47, 2.39, 1.23
 12:48:24 up 23:37,  1 user,  load average: 4.47, 2.39, 1.23
 12:48:25 up 23:37,  1 user,  load average: 4.47, 2.39, 1.23
 12:48:26 up 23:37,  1 user,  load average: 4.12, 2.35, 1.23
 12:48:27 up 23:37,  1 user,  load average: 4.12, 2.35, 1.23
 12:48:28 up 23:37,  1 user,  load average: 4.12, 2.35, 1.23
 12:48:29 up 23:37,  1 user,  load average: 4.12, 2.35, 1.23
 12:48:30 up 23:37,  1 user,  load average: 4.12, 2.35, 1.23
 12:48:31 up 23:37,  1 user,  load average: 4.03, 2.36, 1.24
 12:48:32 up 23:37,  1 user,  load average: 4.03, 2.36, 1.24
 12:48:33 up 23:37,  1 user,  load average: 4.03, 2.36, 1.24
 12:48:34 up 23:37,  1 user,  load average: 4.03, 2.36, 1.24
 12:48:35 up 23:37,  1 user,  load average: 4.03, 2.36, 1.24
 12:48:36 up 23:37,  1 user,  load average: 3.70, 2.32, 1.23
 12:48:37 up 23:37,  1 user,  load average: 3.70, 2.32, 1.23
 12:48:38 up 23:37,  1 user,  load average: 3.70, 2.32, 1.23
 12:48:39 up 23:37,  1 user,  load average: 3.70, 2.32, 1.23
 12:48:40 up 23:37,  1 user,  load average: 3.70, 2.32, 1.23
 12:48:41 up 23:37,  1 user,  load average: 3.49, 2.30, 1.23
 12:48:42 up 23:37,  1 user,  load average: 3.49, 2.30, 1.23
 12:48:43 up 23:37,  1 user,  load average: 3.49, 2.30, 1.23
 12:48:44 up 23:37,  1 user,  load average: 3.49, 2.30, 1.23
 12:48:45 up 23:37,  1 user,  load average: 3.49, 2.30, 1.23
 12:48:46 up 23:37,  1 user,  load average: 3.21, 2.26, 1.22
